date,title,description,read more link,photo name (300x300) 
6/19/1934,Communications Act of 1934,"- A statute that regulates all aspects of the communications and broadcasting industries in the U.S. including telephone, television, and radio communications. 
- Creates the Federal Communications Commission (FCC) as the overseer and regulator to these industries ",http://en.wikipedia.org/wiki/Communications_Act_of_1934,fcc-seal_black-large.png
2/8/1996,Telecommunications Act of 1996,"- First significant telecommunications law since the passing of the Communications Act of 1934. 
- Main purpose: to stimulate competition in the telecommunications markets by allowing anyone to enter into the communications industry and letting any communications business compete in any market it so chooses",http://en.wikipedia.org/wiki/Telecommunications_Act_of_1996,banner_clinton_Greg Gibson.jpg
2/8/1996,Communications Decency Act (CDA),"- Part of Title V of the Telecommunications Act of 1996, passage of this bill marks the first notable attempt by the U.S. Congress to regulate indecency and obscenity on the internet. ",http://en.wikipedia.org/wiki/Communications_Decency_Act,timemag.jpg
10/4/1996,Child Pornography Prevention Act of 1996 (CPPA),- The law expands on the child pornography definition and restricts online child pornography including virtual child pornography,http://en.wikipedia.org/wiki/Child_Pornography_Prevention_Act_of_1996,url.jpg
6/26/1997,Reno vs. American Civil Liberties Union ,"- In this Supreme Court case, two provisions of the Communications Decency Act that criminalized providing minors with obscene materials were called into question. 
- Final Ruling: All nine Justices ruled that the two provisions of the Communications Decency Act were unconstitutional and violated the First Amendment. 
- The ruling became the first major Supreme Court ruling on how materials distributed over the Internet are regulated",http://en.wikipedia.org/wiki/Reno_v._American_Civil_Liberties_Union,51AV5QHEMGL.jpg
10/1/1998,Child Online Protection Act (COPA),"- Lawmakers second attempt at criminalizing and regulating internet pornography and was a direct response to the Reno vs. ACLU case. 
- It prevents minors from accessing content on the internet that are considered harmful to them.
- Limits commercial speech & exclusively affects U.S. providers",http://en.wikipedia.org/wiki/Child_Online_Protection_Act,copa.jpg
10/21/1998,Internet Tax Freedom Act,"- The bill prohibits federal, state, and local governments from taxing internet access & from imposing discriminatory internet-only taxes",http://en.wikipedia.org/wiki/Internet_Tax_Freedom_Act,hp-a-internet-taxes-100340079-orig.jpg
10/28/1998,Dgital Millennium Copyright Act (DCMA),"- Divided into 5 titles, DCMA is a copyright law that implements two 1996 World Intellectual Property Organization (WIPO) treaties
- It amends Title 17 of the U.S. code by stating that websites are not liable for copyright infringement of their users",http://en.wikipedia.org/wiki/Digital_Millennium_Copyright_Act,unwipo.jpg
10/28/1998,Online Copyright Infringement Liability Limitation Act (OCILLA),"- Part of Title II of the Digital Millennium Copyright Act, this act protects online service providers from copyright liabilites coming from their own acts of copyright infringement and from the acts of users as long as they comply with 2 requirements ",http://en.wikipedia.org/wiki/Online_Copyright_Infringement_Liability_Limitation_Act,ocilla.jpg
4/21/2000,Children’s Online Privacy Protection Act (COPPA),"- Describes the responsibilities commercial website operators and online services, who collect, use, or disclose personal information about children, have in protecting the privacy and safety of children under 13 online
- The goal of COPPA is to give parents control over what information is being collected on their children online. ",http://en.wikipedia.org/wiki/Children's_Online_Privacy_Protection_Act,children-internet.jpg
